"egoid","completed_6","completed_5","completed_4","completed_3","completed_2","completed_1","euthanasia_6","euthanasia_5","euthanasia_4","euthanasia_3","euthanasia_2","euthanasia_1","fssocsec_6","fssocsec_5","fssocsec_4","fssocsec_3","fssocsec_2","fssocsec_1","fswelfare_6","fswelfare_5","fswelfare_4","fswelfare_3","fswelfare_2","fswelfare_1","jobguar_6","jobguar_5","jobguar_4","jobguar_3","jobguar_2","jobguar_1","marijuana_6","marijuana_5","marijuana_4","marijuana_3","marijuana_2","marijuana_1","toomucheqrights_6","toomucheqrights_5","toomucheqrights_4","toomucheqrights_3","toomucheqrights_2","toomucheqrights_1"
71518,"","2013-02-02 15:39:26","2012-08-20 16:48:37","2012-05-17 18:19:55","2012-01-28 14:59:53","2011-08-22 23:40:00","","Yes","Yes","Yes","Yes","Yes","","Not sure","Not sure","Not sure","Not sure","Be kept the same","","Not sure","Not sure","Decrease","Not sure","Be kept the same","","5","5","Govt. See to Job/Living","5","5","","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","","Agree","Neither agree nor disagree","Not Sure","Neither agree nor disagree","Disagree"
86009,"2013-05-12 23:51:14","2013-01-24 15:58:02","2012-08-20 09:20:46","","2012-02-23 11:22:14","2011-08-15 15:46:00","No","Not sure","No","","No","No","Be kept the same","Not sure","Decrease","","Decrease","Not sure","Be kept the same","Not sure","Decrease","","Be kept the same","Not sure","5","","6","","6","","Not Legal","Not Legal","Not Legal","","Not Legal","Not Legal","Disagree","Not Sure","Disagree","","Disagree","Neither agree nor disagree"
47230,"","","","","2012-01-28 20:50:56","2011-09-06 20:07:00","","","","","No","No","","","","","Decrease","Decrease","","","","","Decrease","Decrease","","","","","Each Person on Own","5","","","","","Not Legal","Not Legal","","","","","Strongly agree","Strongly agree"
69065,"2013-05-12 16:27:51","2013-01-24 16:01:25","2012-08-20 20:47:47","2012-06-01 00:12:07","","2011-08-15 18:36:00","No","No","Yes","No","","No","Decrease","Decrease","Decrease","Decrease","","Decrease","Decrease","Decrease","Decrease","Decrease","","Increase","Each Person on Own","Each Person on Own","6","6","","6","Legal","Legal","Legal","Legal","","Legal","Disagree","Agree","Neither agree nor disagree","Disagree","","Disagree"
16495,"2013-05-09 23:09:56","2013-01-22 10:50:55","2012-08-20 20:42:31","2012-05-15 23:23:13","2012-01-29 13:46:30","2011-08-19 00:24:00","Yes","Yes","Yes","Yes","Yes","Not sure","Decrease","Decrease","Decrease","Decrease","Decrease","Increase","Be kept the same","Increase","Increase","Increase","Not sure","Increase","5","5","3","6","Each Person on Own","Each Person on Own","Legal","Legal","Legal","Legal","Legal","Legal","Disagree","Disagree","Strongly diisagree","Disagree","Disagree","Strongly diisagree"
21350,"2013-05-02 10:49:09","2013-01-19 15:02:12","2012-08-20 15:21:53","2012-05-30 01:37:34","2012-02-03 12:45:24","2011-08-16 04:27:00","Yes","Yes","Yes","Yes","Yes","Yes","Not sure","Not sure","Be kept the same","Not sure","Not sure","Not sure","Not sure","Not sure","Be kept the same","Not sure","Not sure","Not sure","","5","4","4","5","","Legal","Legal","Legal","Legal","Legal","Legal","Disagree","Disagree","Strongly diisagree","Disagree","Strongly diisagree","Strongly diisagree"
94652,"","","","","","2011-08-15 15:47:00","","","","","","Not sure","","","","","","Decrease","","","","","","Decrease","","","","","","5","","","","","","Not Sure","","","","","","Strongly agree"
26127,"2013-05-09 00:00:21","2013-01-23 20:34:41","2012-09-07 16:31:54","2012-05-18 03:34:28","2012-02-29 02:07:19","2011-08-19 00:58:00","No","No","No","No","No","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Be kept the same","Not sure","Not sure","Not sure","Not sure","Not sure","Decrease","5","4","5","4","4","4","Not Sure","Not Sure","Legal","Not Legal","Not Sure","Not Sure","Strongly diisagree","Disagree","Neither agree nor disagree","Strongly diisagree","Strongly diisagree","Strongly diisagree"
25544,"2013-05-10 21:38:36","2013-01-19 15:37:37","2012-08-22 11:21:28","2012-05-09 11:45:15","2012-02-24 15:35:31","2011-09-02 15:02:00","No","No","No","No","Yes","Yes","Be kept the same","Be kept the same","Not sure","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Not sure","Be kept the same","Be kept the same","Be kept the same","","4","","5","4","4","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","Neither agree nor disagree","Disagree","Disagree","Disagree","Strongly diisagree","Disagree"
23040,"2013-05-07 22:58:27","2013-01-22 22:54:35","2012-08-20 16:43:43","2012-05-15 21:16:37","2012-01-28 21:51:15","2011-08-16 21:53:00","Yes","Yes","Yes","Yes","Yes","Yes","Decrease","Not sure","Not sure","Be kept the same","Decrease","Be kept the same","Be kept the same","Not sure","Decrease","Not sure","Not sure","Be kept the same","","5","5","4","5","5","Not Sure","Not Sure","Legal","Not Sure","Not Sure","Not Sure","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
13882,"2013-05-03 00:12:56","2013-01-20 20:38:48","2012-08-20 13:27:55","2012-05-14 17:39:45","2012-01-28 13:46:34","2011-08-16 01:27:00","Yes","Yes","Not sure","Yes","Yes","Yes","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Be kept the same","Be kept the same","Be kept the same","Be kept the same","5","3","5","3","5","3","Legal","Legal","Not Legal","Not Sure","Not Legal","Not Sure","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
15548,"2013-05-10 03:24:03","","2012-09-01 13:25:54","2012-05-19 00:03:50","2012-02-22 23:15:37","2011-08-22 11:31:00","No","No","No","No","No","Yes","Decrease","Be kept the same","Be kept the same","Be kept the same","Decrease","Be kept the same","Increase","Increase","Increase","Decrease","Increase","Decrease","3","3","3","6","4","6","Legal","Legal","Legal","Legal","Legal","Legal","Strongly diisagree","Disagree","Strongly diisagree","Strongly diisagree","Strongly diisagree","Strongly diisagree"
15071,"2013-05-09 19:33:34","2013-01-28 17:37:55","2012-08-25 10:46:11","2012-05-13 13:44:36","2012-02-05 23:27:03","2011-08-15 17:30:00","Yes","Yes","Not sure","Not sure","No","Yes","Not sure","Not sure","Be kept the same","Be kept the same","Be kept the same","Not sure","Not sure","Not sure","Be kept the same","Be kept the same","Be kept the same","Not sure","4","3","5","3","6","6","Legal","Legal","Legal","Legal","Legal","Legal","Disagree","Strongly diisagree","Disagree","Disagree","Neither agree nor disagree","Disagree"
14106,"2013-05-09 21:54:24","2013-01-20 16:59:02","2012-08-20 10:21:00","2012-05-10 01:49:07","2012-01-28 15:22:05","2011-08-15 17:13:00","Yes","Yes","Yes","Yes","Yes","Yes","Be kept the same","Be kept the same","Be kept the same","Not sure","Be kept the same","Increase","Be kept the same","Be kept the same","Be kept the same","Not sure","Decrease","Increase","5","5","5","Govt. See to Job/Living","6","5","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","Agree","Agree","Agree","Agree","Agree","Agree"
18344,"2013-05-11 23:54:22","2013-02-04 16:22:17","2012-09-08 15:58:52","2012-05-16 15:22:06","2012-02-10 19:56:33","2011-08-15 17:42:00","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Be kept the same","4","3","","Govt. See to Job/Living","","","Not Sure","Not Sure","Not Sure","Not Sure","Not Sure","Not Sure","Neither agree nor disagree","Strongly diisagree","Not Sure","Not Sure","Neither agree nor disagree","Disagree"
63188,"2013-05-13 17:06:07","2013-01-19 10:18:05","2012-08-20 15:52:29","2012-05-13 23:35:52","2012-01-28 15:15:52","2011-08-15 16:36:00","Yes","Not sure","Yes","Not sure","No","No","Be kept the same","Decrease","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Be kept the same","3","2","4","2","2","3","Not Sure","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","Strongly diisagree","Strongly diisagree","Strongly diisagree","Strongly diisagree","Strongly diisagree","Strongly diisagree"
88175,"2013-05-08 22:19:56","2013-01-19 18:44:07","2012-08-30 17:21:06","2012-05-18 20:15:07","2012-02-22 17:37:20","2011-08-16 09:15:00","No","Not sure","Not sure","Not sure","No","Not sure","Be kept the same","Be kept the same","Not sure","Not sure","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Not sure","Not sure","Not sure","Be kept the same","5","5","4","6","5","6","Not Sure","Not Legal","Not Legal","Not Legal","Not Sure","Not Legal","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree"
72746,"2013-05-08 12:40:40","2013-01-19 16:33:08","2012-08-24 10:03:10","2012-05-09 13:21:35","2012-02-03 12:45:08","2011-08-16 09:54:00","Yes","Yes","Yes","Yes","Yes","Yes","Decrease","Not sure","Decrease","Decrease","Not sure","Decrease","Not sure","Not sure","Be kept the same","Decrease","Not sure","Decrease","5","5","Each Person on Own","6","3","6","Legal","Legal","Legal","Legal","Legal","Legal","Agree","Agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree"
68633,"2013-05-09 15:29:24","2013-01-19 23:06:53","2012-09-08 19:14:20","2012-05-18 23:01:04","2012-01-30 17:58:23","2011-08-23 16:10:00","Not sure","Not sure","Not sure","Not sure","No","Not sure","Increase","Increase","Increase","Not sure","Increase","Increase","Increase","Not sure","Increase","Not sure","Not sure","Not sure","4","3","4","2","4","2","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","Strongly diisagree","Strongly diisagree","Strongly diisagree","Strongly diisagree","Strongly diisagree","Strongly diisagree"
23642,"2013-05-11 03:50:59","2013-01-18 21:36:43","2012-08-20 12:32:49","2012-05-15 16:14:44","2012-02-14 19:32:56","2011-08-22 23:47:00","No","Not sure","Not sure","Not sure","Not sure","No","Be kept the same","Be kept the same","Decrease","Be kept the same","Not sure","Be kept the same","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","6","5","5","5","6","6","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","Agree","Agree","Strongly agree","Agree","Agree","Neither agree nor disagree"
46584,"","","2012-09-16 22:29:15","2012-05-17 19:06:05","2012-02-05 22:32:01","2011-08-22 16:15:00","","","Yes","Not sure","Yes","No","","","Be kept the same","Not sure","Be kept the same","Be kept the same","","","Increase","Not sure","Increase","Increase","","","Govt. See to Job/Living","2","2","3","","","Legal","Not Sure","Not Sure","Not Legal","","","Strongly diisagree","Strongly diisagree","Strongly diisagree","Strongly diisagree"
25323,"2013-05-17 18:43:55","2013-02-03 21:19:35","2012-09-13 17:30:21","2012-05-23 18:57:32","2012-01-28 14:50:29","2011-08-18 03:17:00","Yes","Not sure","Not sure","Not sure","Yes","Not sure","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","6","6","6","6","6","6","Legal","Legal","Legal","Not Sure","Not Sure","Not Sure","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree"
36143,"2013-05-10 16:21:04","2013-02-03 15:41:42","2012-08-25 15:51:37","2012-05-14 21:14:37","2012-02-03 13:35:09","2011-08-15 21:49:00","Yes","Yes","Yes","Yes","Yes","Yes","Be kept the same","Increase","Increase","Increase","Be kept the same","Be kept the same","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Each Person on Own","Each Person on Own","Each Person on Own","Each Person on Own","Each Person on Own","5","Legal","Not Legal","","Not Legal","Not Sure","Not Legal","Strongly agree","Strongly agree","Agree","Agree","Disagree","Strongly diisagree"
39701,"2013-05-14 14:57:06","2013-02-03 13:46:14","2012-09-01 13:29:56","","2012-02-22 17:27:57","2011-08-19 02:16:00","No","No","No","","No","No","Be kept the same","Be kept the same","Be kept the same","","Be kept the same","Be kept the same","Decrease","Be kept the same","Decrease","","Decrease","Decrease","","5","4","","6","4","Not Legal","Not Legal","Not Legal","","Not Legal","Not Legal","Agree","Agree","Agree","","Agree","Agree"
24853,"2013-05-03 16:20:54","2013-01-18 21:26:57","2012-08-24 12:24:12","2012-05-14 14:56:33","","2011-08-22 15:27:00","No","Not sure","No","No","","Not sure","Be kept the same","Not sure","Not sure","Not sure","","Increase","Be kept the same","Be kept the same","Not sure","Be kept the same","","Be kept the same","5","3","5","4","","5","Not Sure","Legal","Legal","Not Sure","","Not Sure","Disagree","Disagree","Disagree","Strongly diisagree","","Disagree"
65526,"","","2012-08-20 10:56:57","2012-05-09 11:51:44","2012-01-28 12:27:41","2011-08-15 16:09:00","","","No","Not sure","No","Not sure","","","Decrease","Decrease","Decrease","Decrease","","","Decrease","Decrease","Decrease","Decrease","","","6","6","6","6","","","Legal","Not Sure","Legal","Legal","","","Disagree","Agree","Not Sure","Agree"
