"egoid","completed_6","completed_5","completed_4","completed_3","completed_2","completed_1","euthanasia_6","euthanasia_5","euthanasia_4","euthanasia_3","euthanasia_2","euthanasia_1","fssocsec_6","fssocsec_5","fssocsec_4","fssocsec_3","fssocsec_2","fssocsec_1","fswelfare_6","fswelfare_5","fswelfare_4","fswelfare_3","fswelfare_2","fswelfare_1","jobguar_6","jobguar_5","jobguar_4","jobguar_3","jobguar_2","jobguar_1","marijuana_6","marijuana_5","marijuana_4","marijuana_3","marijuana_2","marijuana_1","toomucheqrights_6","toomucheqrights_5","toomucheqrights_4","toomucheqrights_3","toomucheqrights_2","toomucheqrights_1"
69065,"2013-05-12 16:27:51","2013-01-24 16:01:25","2012-08-20 20:47:47","2012-06-01 00:12:07","","2011-08-15 18:36:00",0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,NA,NA,1,1,NA,1,1,1,1,1,NA,1,0,1,NA,0,NA,0
16495,"2013-05-09 23:09:56","2013-01-22 10:50:55","2012-08-20 20:42:31","2012-05-15 23:23:13","2012-01-29 13:46:30","2011-08-19 00:24:00",1,1,1,1,1,NA,0,0,0,0,0,1,NA,1,1,1,NA,1,1,1,0,1,NA,NA,1,1,1,1,1,1,0,0,NA,0,0,NA
21350,"2013-05-02 10:49:09","2013-01-19 15:02:12","2012-08-20 15:21:53","2012-05-30 01:37:34","2012-02-03 12:45:24","2011-08-16 04:27:00",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,0,0,NA,0,NA,NA
94652,"","","","","","2011-08-15 15:47:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
26127,"2013-05-09 00:00:21","2013-01-23 20:34:41","2012-09-07 16:31:54","2012-05-18 03:34:28","2012-02-29 02:07:19","2011-08-19 00:58:00",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA
25544,"2013-05-10 21:38:36","2013-01-19 15:37:37","2012-08-22 11:21:28","2012-05-09 11:45:15","2012-02-24 15:35:31","2011-09-02 15:02:00",0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,NA,0,0,0,NA,0
23040,"2013-05-07 22:58:27","2013-01-22 22:54:35","2012-08-20 16:43:43","2012-05-15 21:16:37","2012-01-28 21:51:15","2011-08-16 21:53:00",1,1,1,1,1,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
13882,"2013-05-03 00:12:56","2013-01-20 20:38:48","2012-08-20 13:27:55","2012-05-14 17:39:45","2012-01-28 13:46:34","2011-08-16 01:27:00",1,1,NA,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,1,0,1,0,1,1,0,NA,0,NA,0,0,0,0,0,0
15548,"2013-05-10 03:24:03","","2012-09-01 13:25:54","2012-05-19 00:03:50","2012-02-22 23:15:37","2011-08-22 11:31:00",0,0,0,0,0,1,0,NA,NA,NA,0,NA,1,1,1,0,1,0,0,0,0,1,NA,1,1,1,1,1,1,1,NA,0,NA,NA,NA,NA
15071,"2013-05-09 19:33:34","2013-01-28 17:37:55","2012-08-25 10:46:11","2012-05-13 13:44:36","2012-02-05 23:27:03","2011-08-15 17:30:00",1,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,1,1,1,1,1,1,0,NA,0,0,NA,0
14106,"2013-05-09 21:54:24","2013-01-20 16:59:02","2012-08-20 10:21:00","2012-05-10 01:49:07","2012-01-28 15:22:05","2011-08-15 17:13:00",1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
18344,"2013-05-11 23:54:22","2013-02-04 16:22:17","2012-09-08 15:58:52","2012-05-16 15:22:06","2012-02-10 19:56:33","2011-08-15 17:42:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
63188,"2013-05-13 17:06:07","2013-01-19 10:18:05","2012-08-20 15:52:29","2012-05-13 23:35:52","2012-01-28 15:15:52","2011-08-15 16:36:00",1,NA,1,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
88175,"2013-05-08 22:19:56","2013-01-19 18:44:07","2012-08-30 17:21:06","2012-05-18 20:15:07","2012-02-22 17:37:20","2011-08-16 09:15:00",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,0,0,0,NA,0,1,NA,1,NA,NA,1
72746,"2013-05-08 12:40:40","2013-01-19 16:33:08","2012-08-24 10:03:10","2012-05-09 13:21:35","2012-02-03 12:45:08","2011-08-16 09:54:00",1,1,1,1,1,1,0,NA,0,0,NA,0,NA,NA,NA,0,NA,0,1,1,NA,1,0,1,1,1,1,1,1,1,1,1,1,0,NA,NA
68633,"2013-05-09 15:29:24","2013-01-19 23:06:53","2012-09-08 19:14:20","2012-05-18 23:01:04","2012-01-30 17:58:23","2011-08-23 16:10:00",NA,NA,NA,NA,0,NA,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
23642,"2013-05-11 03:50:59","2013-01-18 21:36:43","2012-08-20 12:32:49","2012-05-15 16:14:44","2012-02-14 19:32:56","2011-08-22 23:47:00",0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,NA
